Date/Time,ch.1,ch.2
01/13/2019 16:50'00,23.8,21.9
01/13/2019 17:00'00,22.4,21.9
01/13/2019 17:10'00,21.1,21.9
01/13/2019 17:20'00,20.1,21.7
01/13/2019 17:30'00,19.2,21.6
01/13/2019 17:40'00,18.4,21.4
01/13/2019 17:50'00,17.7,21.2
01/13/2019 18:00'00,17.3,21.1
01/13/2019 18:10'00,16.9,21
01/13/2019 18:20'00,16.6,20.8
01/13/2019 18:30'00,16.2,20.7
01/13/2019 18:40'00,16,20.5
01/13/2019 18:50'00,15.7,20.3
01/13/2019 19:00'00,15.5,20.2
01/13/2019 19:10'00,15.3,20.1
01/13/2019 19:20'00,15.2,19.9
01/13/2019 19:30'00,15,19.8
01/13/2019 19:40'00,14.7,19.7
01/13/2019 19:50'00,14.5,19.5
01/13/2019 20:00'00,14.4,19.4
01/13/2019 20:10'00,14.2,19.4
01/13/2019 20:20'00,13.9,19.2
01/13/2019 20:30'00,15,19.2
01/13/2019 20:40'00,14.2,19
01/13/2019 20:50'00,13.5,18.9
01/13/2019 21:00'00,14.7,18.9
01/13/2019 21:10'00,14.1,18.7
01/13/2019 21:20'00,13.7,18.7
01/13/2019 21:30'00,14.7,18.6
01/13/2019 21:40'00,14.5,18.6
01/13/2019 21:50'00,13.9,18.5
01/13/2019 22:00'00,14.3,18.4
01/13/2019 22:10'00,14.6,18.3
01/13/2019 22:20'00,13.8,18.3
01/13/2019 22:30'00,14.7,18.2
01/13/2019 22:40'00,14.2,18.1
01/13/2019 22:50'00,13.4,18
01/13/2019 23:00'00,15.1,18
01/13/2019 23:10'00,13.9,18
01/13/2019 23:20'00,13.5,17.9
01/13/2019 23:30'00,14.9,17.9
01/13/2019 23:40'00,13.7,17.9
01/13/2019 23:50'00,14.2,17.8
01/14/2019 00:00'00,14.4,17.8
01/14/2019 00:10'00,13.4,17.7
01/14/2019 00:20'00,14.8,17.7
01/14/2019 00:30'00,13.9,17.6
01/14/2019 00:40'00,13.6,17.6
01/14/2019 00:50'00,14.5,17.5
01/14/2019 01:00'00,13,17.5
01/14/2019 01:10'00,14.1,17.4
01/14/2019 01:20'00,13.2,17.4
01/14/2019 01:30'00,13.8,17.4
01/14/2019 01:40'00,14,17.3
01/14/2019 01:50'00,13,17.3
01/14/2019 02:00'00,14.6,17.2
01/14/2019 02:10'00,12.7,17.2
01/14/2019 02:20'00,13.8,17.2
01/14/2019 02:30'00,13.7,17.1
01/14/2019 02:40'00,13,17.1
01/14/2019 02:50'00,14.2,17.1
01/14/2019 03:00'00,12.6,17
01/14/2019 03:10'00,14,16.9
01/14/2019 03:20'00,13.4,16.9
01/14/2019 03:30'00,13.2,16.8
01/14/2019 03:40'00,14.3,16.8
01/14/2019 03:50'00,12.6,16.9
01/14/2019 04:00'00,13.8,16.8
01/14/2019 04:10'00,12.8,16.7
01/14/2019 04:20'00,13.2,16.7
01/14/2019 04:30'00,13.6,16.7
01/14/2019 04:40'00,12.6,16.7
01/14/2019 04:50'00,14.1,16.6
01/14/2019 05:00'00,12.6,16.6
01/14/2019 05:10'00,13.3,16.6
01/14/2019 05:20'00,13.6,16.6
01/14/2019 05:30'00,12.6,16.5
01/14/2019 05:40'00,13.7,16.5
01/14/2019 05:50'00,12.3,16.5
01/14/2019 06:00'00,13.2,16.5
01/14/2019 06:10'00,12.7,16.4
01/14/2019 06:20'00,12.8,16.4
01/14/2019 06:30'00,13.8,16.4
01/14/2019 06:40'00,12.3,16.4
01/14/2019 06:50'00,13.2,16.3
01/14/2019 07:00'00,12.5,16.3
01/14/2019 07:10'00,12.8,16.3
01/14/2019 07:20'00,13.6,16.2
01/14/2019 07:30'00,12.7,16.2
01/14/2019 07:40'00,14.3,16.3
01/14/2019 07:50'00,12.3,16.2
01/14/2019 08:00'00,14.2,16.2
01/14/2019 08:10'00,13.2,16.3
01/14/2019 08:20'00,12.8,16.2
01/14/2019 08:30'00,13.6,16.2
01/14/2019 08:40'00,14.7,16.2
01/14/2019 08:50'00,15.8,16.2
01/14/2019 09:00'00,17,16.3
01/14/2019 09:10'00,18.1,16.3
01/14/2019 09:20'00,19.5,16.4
01/14/2019 09:30'00,22.2,16.4
01/14/2019 09:40'00,23.2,16.6
01/14/2019 09:50'00,25.2,16.7
01/14/2019 10:00'00,26.5,16.8
01/14/2019 10:10'00,27.8,16.9
01/14/2019 10:20'00,28,17.1
01/14/2019 10:30'00,26.5,17.3
01/14/2019 10:40'00,26.6,17.4
01/14/2019 10:50'00,28.2,17.6
01/14/2019 11:00'00,32,17.8
01/14/2019 11:10'00,30.3,18
01/14/2019 11:20'00,29.7,18.2
01/14/2019 11:30'00,28.5,18.4
01/14/2019 11:40'00,30.5,18.5
01/14/2019 11:50'00,30.6,18.6
01/14/2019 12:00'00,30.1,18.8
01/14/2019 12:10'00,28.7,18.9
01/14/2019 12:20'00,29.6,19.1
01/14/2019 12:30'00,30.8,19.3
01/14/2019 12:40'00,31.1,19.5
01/14/2019 12:50'00,33.7,19.8
01/14/2019 13:00'00,31.9,20
01/14/2019 13:10'00,33.1,20.3
01/14/2019 13:20'00,31.9,20.5
01/14/2019 13:30'00,33.5,20.7
01/14/2019 13:40'00,32.7,20.9
01/14/2019 13:50'00,33.9,21
01/14/2019 14:00'00,33.2,21.2
01/14/2019 14:10'00,34,21.5
01/14/2019 14:20'00,33.4,21.7
01/14/2019 14:30'00,34,21.8
01/14/2019 14:40'00,34.9,22.1
01/14/2019 14:50'00,33.8,22.2
01/14/2019 15:00'00,33.5,22.4
01/14/2019 15:10'00,31.9,22.5
01/14/2019 15:20'00,31.5,22.6
01/14/2019 15:30'00,31,22.6
01/14/2019 15:40'00,29.9,22.6
01/14/2019 15:50'00,28.7,22.5
01/14/2019 16:00'00,28.3,22.5
01/14/2019 16:10'00,28.3,22.5
01/14/2019 16:20'00,27.5,22.4
01/14/2019 16:30'00,26.4,22.4
01/14/2019 16:40'00,25.1,22.4
01/14/2019 16:50'00,23.2,22.3
01/14/2019 17:00'00,21.7,22.3
01/14/2019 17:10'00,20.5,22.2
01/14/2019 17:20'00,19.7,22.1
01/14/2019 17:30'00,19.1,22
01/14/2019 17:40'00,18.5,21.7
01/14/2019 17:50'00,17.9,21.6
01/14/2019 18:00'00,17.3,21.4
01/14/2019 18:10'00,16.9,21.3
01/14/2019 18:20'00,16.6,21.1
01/14/2019 18:30'00,16.3,21
01/14/2019 18:40'00,16,20.8
01/14/2019 18:50'00,15.8,20.7
01/14/2019 19:00'00,15.5,20.5
01/14/2019 19:10'00,15.2,20.3
01/14/2019 19:20'00,14.9,20.2
01/14/2019 19:30'00,14.8,20.1
01/14/2019 19:40'00,14.6,20
01/14/2019 19:50'00,14.4,19.8
01/14/2019 20:00'00,14.2,19.7
01/14/2019 20:10'00,14.1,19.6
01/14/2019 20:20'00,13.9,19.4
01/14/2019 20:30'00,15,19.3
01/14/2019 20:40'00,14.4,19.2
01/14/2019 20:50'00,14,19.2
01/14/2019 21:00'00,14.5,19
01/14/2019 21:10'00,14.6,19
01/14/2019 21:20'00,14,18.9
01/14/2019 21:30'00,14.3,18.8
01/14/2019 21:40'00,14.7,18.7
01/14/2019 21:50'00,13.8,18.7
01/14/2019 22:00'00,14.3,18.6
01/14/2019 22:10'00,14.3,18.5
01/14/2019 22:20'00,13.3,18.4
01/14/2019 22:30'00,14.7,18.4
01/14/2019 22:40'00,13.5,18.3
01/14/2019 22:50'00,13.7,18.3
01/14/2019 23:00'00,14.2,18.2
01/14/2019 23:10'00,12.9,18.1
01/14/2019 23:20'00,14.3,18
01/14/2019 23:30'00,13.5,18
01/14/2019 23:40'00,13.6,18
01/14/2019 23:50'00,14.3,17.9
01/15/2019 00:00'00,12.9,17.9
01/15/2019 00:10'00,14.3,17.8
01/15/2019 00:20'00,13.6,17.8
01/15/2019 00:30'00,13.2,17.7
01/15/2019 00:40'00,14.8,17.6
01/15/2019 00:50'00,13.2,17.6
01/15/2019 01:00'00,13.9,17.6
01/15/2019 01:10'00,13.8,17.5
01/15/2019 01:20'00,13.1,17.5
01/15/2019 01:30'00,14.8,17.4
01/15/2019 01:40'00,13.3,17.4
01/15/2019 01:50'00,13.8,17.4
01/15/2019 02:00'00,14.1,17.4
01/15/2019 02:10'00,12.9,17.3
01/15/2019 02:20'00,14.7,17.3
01/15/2019 02:30'00,13.5,17.3
01/15/2019 02:40'00,13.5,17.3
01/15/2019 02:50'00,14.7,17.2
01/15/2019 03:00'00,13.5,17.2
01/15/2019 03:10'00,13.5,17.2
01/15/2019 03:20'00,14.9,17.2
01/15/2019 03:30'00,13.5,17.2
01/15/2019 03:40'00,13.5,17.2
01/15/2019 03:50'00,14.8,17.2
01/15/2019 04:00'00,13.6,17.2
01/15/2019 04:10'00,13.5,17.1
01/15/2019 04:20'00,14.9,17.1
01/15/2019 04:30'00,13.6,17
01/15/2019 04:40'00,13,17
01/15/2019 04:50'00,15,17
01/15/2019 05:00'00,13.9,17.1
01/15/2019 05:10'00,13.3,17
01/15/2019 05:20'00,14.2,17
01/15/2019 05:30'00,14.3,17
01/15/2019 05:40'00,13.6,17
01/15/2019 05:50'00,13.4,17
01/15/2019 06:00'00,15.2,17
01/15/2019 06:10'00,13.8,17
01/15/2019 06:20'00,13.3,17
01/15/2019 06:30'00,14.9,16.9
01/15/2019 06:40'00,14.1,16.9
01/15/2019 06:50'00,13.4,16.9
01/15/2019 07:00'00,14.4,16.9
01/15/2019 07:10'00,14.3,16.9
01/15/2019 07:20'00,13.4,16.9
01/15/2019 07:30'00,14.4,16.8
01/15/2019 07:40'00,14.3,16.9
01/15/2019 07:50'00,13.6,16.9
01/15/2019 08:00'00,13.5,16.8
01/15/2019 08:10'00,13.5,16.8
01/15/2019 08:20'00,13.8,16.8
01/15/2019 08:30'00,14,16.8
01/15/2019 08:40'00,14.8,16.8
01/15/2019 08:50'00,15.7,16.8
01/15/2019 09:00'00,16,16.9
01/15/2019 09:10'00,16.6,16.9
01/15/2019 09:20'00,17.5,16.9
01/15/2019 09:30'00,18.1,16.9
01/15/2019 09:40'00,18.3,17
01/15/2019 09:50'00,19.9,17
01/15/2019 10:00'00,20.7,17.1
01/15/2019 10:10'00,20.9,17.2
01/15/2019 10:20'00,21.1,17.3
01/15/2019 10:30'00,21.9,17.4
01/15/2019 10:40'00,22.3,17.5
01/15/2019 10:50'00,23.8,17.6
01/15/2019 11:00'00,24.5,17.8
01/15/2019 11:10'00,25.5,17.9
01/15/2019 11:20'00,28.8,18.1
01/15/2019 11:30'00,27.2,18.2
01/15/2019 11:40'00,27.5,18.4
01/15/2019 11:50'00,29,18.5
01/15/2019 12:00'00,29.2,18.7
01/15/2019 12:10'00,28.8,18.9
01/15/2019 12:20'00,29.4,19.1
01/15/2019 12:30'00,28.5,19.2
01/15/2019 12:40'00,28.1,19.4
01/15/2019 12:50'00,27.4,19.6
01/15/2019 13:00'00,27,19.7
01/15/2019 13:10'00,26.2,19.7
01/15/2019 13:20'00,25.4,19.8
01/15/2019 13:30'00,24.4,19.9
01/15/2019 13:40'00,23.6,19.9
01/15/2019 13:50'00,22.9,20
01/15/2019 14:00'00,22,20
01/15/2019 14:10'00,21.6,20
01/15/2019 14:20'00,21,19.9
01/15/2019 14:30'00,21.1,19.9
01/15/2019 14:40'00,21.4,19.9
01/15/2019 14:50'00,20,19.9
01/15/2019 15:00'00,18.4,19.8
01/15/2019 15:10'00,17.3,19.8
01/15/2019 15:20'00,16.7,19.7
01/15/2019 15:30'00,16.3,19.6
01/15/2019 15:40'00,16.7,19.5
01/15/2019 15:50'00,16.8,19.5
01/15/2019 16:00'00,16.7,19.4
01/15/2019 16:10'00,16.6,19.3
01/15/2019 16:20'00,16.4,19.3
01/15/2019 16:30'00,16.2,19.2
01/15/2019 16:40'00,15.9,19.1
01/15/2019 16:50'00,15.6,19.1
01/15/2019 17:00'00,15.4,19
01/15/2019 17:10'00,15.2,18.9
01/15/2019 17:20'00,15,18.8
01/15/2019 17:30'00,14.9,18.7
01/15/2019 17:40'00,14.6,18.7
01/15/2019 17:50'00,14.5,18.7
01/15/2019 18:00'00,14.4,18.6
01/15/2019 18:10'00,14.4,18.5
01/15/2019 18:20'00,14.2,18.4
01/15/2019 18:30'00,14.2,18.3
01/15/2019 18:40'00,14.1,18.3
01/15/2019 18:50'00,14.2,18.3
01/15/2019 19:00'00,14.2,18.2
01/15/2019 19:10'00,14.2,18.1
01/15/2019 19:20'00,14.2,18.1
01/15/2019 19:30'00,14.2,18
01/15/2019 19:40'00,14.1,18
01/15/2019 19:50'00,14,17.9
01/15/2019 20:00'00,14,17.9
01/15/2019 20:10'00,13.9,17.9
01/15/2019 20:20'00,13.9,17.8
01/15/2019 20:30'00,13.8,17.8
01/15/2019 20:40'00,13.7,17.7
01/15/2019 20:50'00,13.5,17.7
01/15/2019 21:00'00,15,17.7
01/15/2019 21:10'00,14.2,17.6
01/15/2019 21:20'00,13.7,17.6
01/15/2019 21:30'00,13.6,17.6
01/15/2019 21:40'00,14.9,17.5
01/15/2019 21:50'00,14,17.4
01/15/2019 22:00'00,13.5,17.4
01/15/2019 22:10'00,14.3,17.4
01/15/2019 22:20'00,14.5,17.4
01/15/2019 22:30'00,13.8,17.3
01/15/2019 22:40'00,13.5,17.3
01/15/2019 22:50'00,14.4,17.3
01/15/2019 23:00'00,14.4,17.2
01/15/2019 23:10'00,13.9,17.2
01/15/2019 23:20'00,13.6,17.2
01/15/2019 23:30'00,13.4,17.2
01/15/2019 23:40'00,14.9,17.2
01/15/2019 23:50'00,14.3,17.2
01/16/2019 00:00'00,13.9,17.1
01/16/2019 00:10'00,13.6,17.1
01/16/2019 00:20'00,13.6,17.1
01/16/2019 00:30'00,15,17.1
01/16/2019 00:40'00,13.9,17.1
01/16/2019 00:50'00,13.6,17
01/16/2019 01:00'00,13.6,17
01/16/2019 01:10'00,14.9,17
01/16/2019 01:20'00,13.9,17
01/16/2019 01:30'00,13.6,17
01/16/2019 01:40'00,13.3,17
01/16/2019 01:50'00,15.3,16.9
01/16/2019 02:00'00,14.2,16.9
01/16/2019 02:10'00,13.7,16.9
01/16/2019 02:20'00,13.2,16.9
01/16/2019 02:30'00,15.2,16.9
01/16/2019 02:40'00,14,16.9
01/16/2019 02:50'00,13.2,16.8
01/16/2019 03:00'00,15,16.8
01/16/2019 03:10'00,14,16.8
01/16/2019 03:20'00,13.2,16.8
01/16/2019 03:30'00,15.1,16.7
01/16/2019 03:40'00,14,16.8
01/16/2019 03:50'00,13.3,16.7
01/16/2019 04:00'00,14.9,16.7
01/16/2019 04:10'00,13.6,16.7
01/16/2019 04:20'00,13.6,16.7
01/16/2019 04:30'00,14.5,16.6
01/16/2019 04:40'00,13.2,16.7
01/16/2019 04:50'00,14.3,16.6
01/16/2019 05:00'00,13.9,16.6
01/16/2019 05:10'00,13.2,16.6
01/16/2019 05:20'00,14.8,16.6
01/16/2019 05:30'00,13.4,16.6
01/16/2019 05:40'00,14,16.6
01/16/2019 05:50'00,14.1,16.6
01/16/2019 06:00'00,13.1,16.6
01/16/2019 06:10'00,14.9,16.5
01/16/2019 06:20'00,13.4,16.6
01/16/2019 06:30'00,13.9,16.5
01/16/2019 06:40'00,14.3,16.5
01/16/2019 06:50'00,13.2,16.5
01/16/2019 07:00'00,14.7,16.5
01/16/2019 07:10'00,14,16.5
01/16/2019 07:20'00,13.2,16.5
01/16/2019 07:30'00,14.9,16.5
01/16/2019 07:40'00,13.8,16.5
01/16/2019 07:50'00,13.3,16.5
01/16/2019 08:00'00,15.2,16.5
01/16/2019 08:10'00,15,16.5
01/16/2019 08:20'00,15.2,16.5
01/16/2019 08:30'00,15.7,16.5
01/16/2019 08:40'00,16.4,16.5
01/16/2019 08:50'00,17.2,16.6
01/16/2019 09:00'00,18.3,16.6
01/16/2019 09:10'00,19.6,16.5
01/16/2019 09:20'00,20.7,16.4
01/16/2019 09:30'00,22.1,16.3
01/16/2019 09:40'00,24.2,16.4
01/16/2019 09:50'00,25,16.4
01/16/2019 10:00'00,25.9,16.5
01/16/2019 10:10'00,26.9,16.6
01/16/2019 10:20'00,28,16.7
01/16/2019 10:30'00,26.6,16.9
01/16/2019 10:40'00,27,17
01/16/2019 10:50'00,27.7,17.2
01/16/2019 11:00'00,30.9,17.4
01/16/2019 11:10'00,31.6,17.6
01/16/2019 11:20'00,31.9,17.8
01/16/2019 11:30'00,32.9,18
01/16/2019 11:40'00,32.2,18.2
01/16/2019 11:50'00,30.4,18.4
01/16/2019 12:00'00,29.8,18.5
01/16/2019 12:10'00,29.8,18.7
01/16/2019 12:20'00,27.4,18.8
01/16/2019 12:30'00,29.3,19
01/16/2019 12:40'00,28.6,19.2
01/16/2019 12:50'00,30.5,19.5
01/16/2019 13:00'00,28.7,19.7
01/16/2019 13:10'00,30.7,19.9
01/16/2019 13:20'00,30.7,20.1
01/16/2019 13:30'00,31.7,20.2
01/16/2019 13:40'00,32.1,20.4
01/16/2019 13:50'00,33.2,20.6
01/16/2019 14:00'00,31.9,20.8
01/16/2019 14:10'00,32.4,21.1
01/16/2019 14:20'00,31.3,21.2
01/16/2019 14:30'00,31.5,21.4
01/16/2019 14:40'00,32.2,21.5
01/16/2019 14:50'00,31.4,21.7
01/16/2019 15:00'00,29.7,21.8
01/16/2019 15:10'00,27.3,21.8
01/16/2019 15:20'00,25.7,21.8
01/16/2019 15:30'00,24.9,21.8
01/16/2019 15:40'00,24.6,21.7
01/16/2019 15:50'00,24.5,21.6
01/16/2019 16:00'00,24.3,21.6
01/16/2019 16:10'00,24.5,21.5
01/16/2019 16:20'00,23.8,21.5
01/16/2019 16:30'00,22.9,21.4
01/16/2019 16:40'00,22.2,21.4
01/16/2019 16:50'00,20.9,21.3
01/16/2019 17:00'00,19.7,21.2
01/16/2019 17:10'00,18.8,21.2
01/16/2019 17:20'00,18.1,21.1
01/16/2019 17:30'00,17.5,21
01/16/2019 17:40'00,17,20.8
01/16/2019 17:50'00,16.6,20.6
01/16/2019 18:00'00,16.2,20.5
01/16/2019 18:10'00,15.9,20.4
01/16/2019 18:20'00,15.6,20.2
01/16/2019 18:30'00,15.3,20.1
01/16/2019 18:40'00,15,20
01/16/2019 18:50'00,14.8,19.8
01/16/2019 19:00'00,14.6,19.7
01/16/2019 19:10'00,14.4,19.6
01/16/2019 19:20'00,14.2,19.4
01/16/2019 19:30'00,14.1,19.3
01/16/2019 19:40'00,15.4,19.2
01/16/2019 19:50'00,14.5,19.1
01/16/2019 20:00'00,14.2,19.1
01/16/2019 20:10'00,14.1,19
01/16/2019 20:20'00,15.1,18.8
01/16/2019 20:30'00,14.3,18.7
01/16/2019 20:40'00,13.7,18.7
01/16/2019 20:50'00,15.2,18.6
01/16/2019 21:00'00,14.1,18.6
01/16/2019 21:10'00,13.7,18.4
01/16/2019 21:20'00,15.2,18.4
01/16/2019 21:30'00,14,18.4
01/16/2019 21:40'00,14,18.3
01/16/2019 21:50'00,14.8,18.3
01/16/2019 22:00'00,13.8,18.2
01/16/2019 22:10'00,14.4,18.1
01/16/2019 22:20'00,14.2,18.1
01/16/2019 22:30'00,13.5,18.1
01/16/2019 22:40'00,14.9,18
01/16/2019 22:50'00,13.8,18
01/16/2019 23:00'00,14.2,17.9
01/16/2019 23:10'00,14.2,17.9
01/16/2019 23:20'00,13.4,17.9
01/16/2019 23:30'00,14.9,17.7
01/16/2019 23:40'00,13.7,17.7
01/16/2019 23:50'00,14.1,17.7
01/17/2019 00:00'00,14.2,17.7
01/17/2019 00:10'00,13.3,17.6
01/17/2019 00:20'00,14.6,17.6
01/17/2019 00:30'00,13.5,17.5
01/17/2019 00:40'00,13.9,17.4
01/17/2019 00:50'00,14.1,17.5
01/17/2019 01:00'00,13.2,17.4
01/17/2019 01:10'00,14.7,17.4
01/17/2019 01:20'00,13.2,17.4
01/17/2019 01:30'00,14.2,17.3
01/17/2019 01:40'00,14,17.3
01/17/2019 01:50'00,13.5,17.3
01/17/2019 02:00'00,15,17.2
01/17/2019 02:10'00,13.6,17.2
01/17/2019 02:20'00,13.9,17.2
01/17/2019 02:30'00,14.2,17.2
01/17/2019 02:40'00,13.2,17.1
01/17/2019 02:50'00,14.7,17.1
01/17/2019 03:00'00,13.6,17.2
01/17/2019 03:10'00,13.8,17.1
01/17/2019 03:20'00,14.2,17
01/17/2019 03:30'00,13,17
01/17/2019 03:40'00,14.7,17
01/17/2019 03:50'00,13.6,17
01/17/2019 04:00'00,13.5,17
01/17/2019 04:10'00,14.6,16.9
01/17/2019 04:20'00,13,16.9
01/17/2019 04:30'00,14.4,16.9
01/17/2019 04:40'00,13.4,16.8
01/17/2019 04:50'00,13.6,16.8
01/17/2019 05:00'00,14.4,16.8
01/17/2019 05:10'00,13,16.8
01/17/2019 05:20'00,14.6,16.8
01/17/2019 05:30'00,13.4,16.8
01/17/2019 05:40'00,13.6,16.8
01/17/2019 05:50'00,14.3,16.7
01/17/2019 06:00'00,12.9,16.7
01/17/2019 06:10'00,14.7,16.7
01/17/2019 06:20'00,13.3,16.7
01/17/2019 06:30'00,13.6,16.7
01/17/2019 06:40'00,14.1,16.7
01/17/2019 06:50'00,13,16.7
01/17/2019 07:00'00,14.8,16.6
01/17/2019 07:10'00,13.4,16.7
01/17/2019 07:20'00,14,16.7
01/17/2019 07:30'00,14.3,16.7
01/17/2019 07:40'00,13.8,16.7
01/17/2019 07:50'00,13.6,16.7
01/17/2019 08:00'00,13.8,16.7
01/17/2019 08:10'00,14.2,16.7
01/17/2019 08:20'00,14.5,16.7
01/17/2019 08:30'00,14.9,16.7
01/17/2019 08:40'00,14.9,16.7
01/17/2019 08:50'00,15.5,16.6
01/17/2019 09:00'00,16,16.6
01/17/2019 09:10'00,16.6,16.7
01/17/2019 09:20'00,17.3,16.7
01/17/2019 09:30'00,17.8,16.7
01/17/2019 09:40'00,18.4,16.8
01/17/2019 09:50'00,20.4,16.8
01/17/2019 10:00'00,20.9,16.9
01/17/2019 10:10'00,25.1,17
01/17/2019 10:20'00,25.5,17.2
01/17/2019 10:30'00,25.5,17.4
01/17/2019 10:40'00,26.7,17.6
01/17/2019 10:50'00,27.8,17.9
01/17/2019 11:00'00,30,18.1
01/17/2019 11:10'00,30,18.3
01/17/2019 11:20'00,30.2,18.5
01/17/2019 11:30'00,29.6,18.7
01/17/2019 11:40'00,29,18.8
01/17/2019 11:50'00,28.9,18.9
01/17/2019 12:00'00,28.2,19.1
01/17/2019 12:10'00,27.8,19.2
01/17/2019 12:20'00,27.1,19.4
01/17/2019 12:30'00,28.5,19.6
01/17/2019 12:40'00,29.2,19.9
01/17/2019 12:50'00,29.8,20.1
01/17/2019 13:00'00,28.7,20.4
01/17/2019 13:10'00,30.2,20.6
01/17/2019 13:20'00,31.2,20.7
01/17/2019 13:30'00,32.8,20.9
01/17/2019 13:40'00,31,21.1
01/17/2019 13:50'00,32,21.3
01/17/2019 14:00'00,29.5,21.5
01/17/2019 14:10'00,26.2,21.7
01/17/2019 14:20'00,26.7,21.6
01/17/2019 14:30'00,26.2,21.6
01/17/2019 14:40'00,31,21.6
01/17/2019 14:50'00,27.4,21.4
01/17/2019 15:00'00,24.8,21.4
01/17/2019 15:10'00,23.5,21.3
01/17/2019 15:20'00,22.3,21.2
01/17/2019 15:30'00,21,21.1
01/17/2019 15:40'00,20.6,21.1
01/17/2019 15:50'00,20.3,21
01/17/2019 16:00'00,20,20.9
01/17/2019 16:10'00,19.4,20.7
01/17/2019 16:20'00,20.4,20.7
01/17/2019 16:30'00,19,20.6
01/17/2019 16:40'00,18.5,20.5
01/17/2019 16:50'00,18.5,20.4
01/17/2019 17:00'00,18.1,20.2
01/17/2019 17:10'00,17.6,20.2
01/17/2019 17:20'00,17.2,20
01/17/2019 17:30'00,16.9,20
01/17/2019 17:40'00,16.5,19.8
01/17/2019 17:50'00,16.2,19.7
01/17/2019 18:00'00,15.9,19.6
01/17/2019 18:10'00,15.7,19.5
01/17/2019 18:20'00,15.4,19.4
01/17/2019 18:30'00,15.3,19.2
01/17/2019 18:40'00,15,19.1
01/17/2019 18:50'00,15,19
01/17/2019 19:00'00,14.9,18.9
01/17/2019 19:10'00,14.8,18.8
01/17/2019 19:20'00,14.8,18.7
01/17/2019 19:30'00,14.7,18.6
01/17/2019 19:40'00,14.7,18.5
01/17/2019 19:50'00,14.6,18.5
01/17/2019 20:00'00,14.5,18.4
01/17/2019 20:10'00,14.4,18.4
01/17/2019 20:20'00,14.2,18.3
01/17/2019 20:30'00,14.2,18.2
01/17/2019 20:40'00,14.2,18.2
01/17/2019 20:50'00,14,18
01/17/2019 21:00'00,14,18
01/17/2019 21:10'00,14,17.9
01/17/2019 21:20'00,15.2,17.9
01/17/2019 21:30'00,14.5,17.9
01/17/2019 21:40'00,14.2,17.9
01/17/2019 21:50'00,14,17.8
01/17/2019 22:00'00,13.7,17.7
01/17/2019 22:10'00,15,17.7
01/17/2019 22:20'00,14.4,17.7
01/17/2019 22:30'00,13.9,17.6
01/17/2019 22:40'00,13.6,17.5
01/17/2019 22:50'00,15,17.5
01/17/2019 23:00'00,14.2,17.5
01/17/2019 23:10'00,13.8,17.4
01/17/2019 23:20'00,14.3,17.4
01/17/2019 23:30'00,14.5,17.4
01/17/2019 23:40'00,14,17.4
01/17/2019 23:50'00,13.8,17.3
01/18/2019 00:00'00,14,17.3
01/18/2019 00:10'00,14.9,17.2
01/18/2019 00:20'00,14.2,17.2
01/18/2019 00:30'00,13.7,17.2
01/18/2019 00:40'00,14.5,17.2
01/18/2019 00:50'00,14.2,17.2
01/18/2019 01:00'00,13.5,17.1
01/18/2019 01:10'00,14.7,17.1
01/18/2019 01:20'00,14,17.1
01/18/2019 01:30'00,13.5,17
01/18/2019 01:40'00,14.8,17
01/18/2019 01:50'00,13.7,16.9
01/18/2019 02:00'00,14.1,16.9
01/18/2019 02:10'00,14.5,16.9
01/18/2019 02:20'00,13.5,16.9
01/18/2019 02:30'00,14.6,16.9
01/18/2019 02:40'00,14.1,16.9
01/18/2019 02:50'00,13.4,16.8
01/18/2019 03:00'00,14.9,16.8
01/18/2019 03:10'00,13.6,16.8
01/18/2019 03:20'00,14,16.7
01/18/2019 03:30'00,14.3,16.7
01/18/2019 03:40'00,13.3,16.7
01/18/2019 03:50'00,15,16.6
01/18/2019 04:00'00,13.7,16.7
01/18/2019 04:10'00,13.8,16.6
01/18/2019 04:20'00,14.3,16.6
01/18/2019 04:30'00,13.3,16.6
01/18/2019 04:40'00,14.8,16.6
01/18/2019 04:50'00,13.6,16.6
01/18/2019 05:00'00,13.9,16.6
01/18/2019 05:10'00,14.3,16.6
01/18/2019 05:20'00,13.3,16.6
01/18/2019 05:30'00,14.9,16.5
01/18/2019 05:40'00,13.6,16.5
01/18/2019 05:50'00,14,16.5
01/18/2019 06:00'00,13.9,16.5
01/18/2019 06:10'00,13.3,16.4
01/18/2019 06:20'00,14.7,16.4
01/18/2019 06:30'00,13.4,16.4
01/18/2019 06:40'00,14.1,16.4
01/18/2019 06:50'00,13.7,16.3
01/18/2019 07:00'00,13.5,16.3
01/18/2019 07:10'00,14.6,16.3
01/18/2019 07:20'00,13.1,16.3
01/18/2019 07:30'00,14.4,16.2
01/18/2019 07:40'00,13.9,16.3
01/18/2019 07:50'00,13.7,16.3
01/18/2019 08:00'00,14.6,16.2
01/18/2019 08:10'00,14.1,16.3
01/18/2019 08:20'00,14,16.3
01/18/2019 08:30'00,14.1,16.3
01/18/2019 08:40'00,14.5,16.3
01/18/2019 08:50'00,14.9,16.3
01/18/2019 09:00'00,16.5,16.3
01/18/2019 09:10'00,19,16.4
01/18/2019 09:20'00,20.3,16.5
01/18/2019 09:30'00,22,16.6
01/18/2019 09:40'00,23.7,16.5
01/18/2019 09:50'00,24,16.7
